,the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
5601,0101000020E6100000DA571EA4A77952C070EF1AF4A5714440,122463,122455,5401002.0,,240 St.,5911,Broadway at 240 St,5911 Broadway at 240 St,Bronx,Bronx,2.0,10463.0,40.887877,-73.90085699999999,1011663.0,262771.0001,2084012,2057760401,208.0,11,28500,BX29,0101000020110F000010AB4E71CB615FC12EC79365BA0E5341,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
5792,0101000020E610000054E23AC6157D52C03123BC3D08614440,,10007,,,Southtown Commons,40,River Road,40 River Road,New York,Manhattan,1.0,10044.0,40.758064000000005,-73.954454,996868.0,215462.9999,,1013730001,108.0,5,23801,MN31,0101000020110F000028AF500A9F675FC134EED25814FC5241,Parks and Plazas,Parks,City-State Park,,,,,RIOC: 0.380,RIOC: Acres,City Owned,Public,Roosevelt Island Operating Corporation,RIOC,RIOC: State,Roosevelt Island Operating Corporation,RIOC,NYCDEP;NYCDOE;NYCFDNY,NYCDCAS;RIOC,NYCDCAS: City Owned and Leased Properties;RIOC: Selected Facilities and Program Sites Database,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;RIOC: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,NYCDCAS: 2017-06-01;RIOC: 2015-03-01,dcas_facilities_colp;rioc_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
6055,0101000020E61000006E197096927452C05E807D74EA704440,,123652,5302210001.0,,Eastchester Depot,3320,Hutchinson Avenue,3320 Hutchinson Avenue,Bronx,Bronx,2.0,10475.0,40.882155,-73.82144699999999,1033624.06,260721.12,2072452,2052560210,210.0,12,46201,BX13,0101000020110F00008B3BF07829595FC1C59FF0C3E70D5341,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Leased,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
6326,0101000020E6100000F4531C075E7952C0F777B6476F5A4440,22610;1697;190298,155148,5401016.0,,Fresh Pond,66-99,Fresh Pond Road,66-99 Fresh Pond Road,Ridgewood,Queens,4.0,11385.0,40.706521,-73.896364,1012983.53,196698.2111,4521890;4550133;4551724,4036190003;4036190110;4036670309;4036670722,405.0,30,61301,QN20,0101000020110F0000C2422A674E615FC16ADA985EAFF45241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
6423,0101000020E6100000986DA7AD117D52C02BDA1CE736694440,,22274,5401030.0,,137 St. Yard,137,St and Broadway,137 St and Broadway,New York,Manhattan,1.0,10031.0,40.821988,-73.954204,996924.9999,238752.9999,,1020860036,109.0,7,22301,MN06,0101000020110F0000C80C341598675FC15E43461242055341,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
6911,0101000020E6100000C4263273817152C011018750A5544440,,115315,5302413001.0,,Jfk Depot,165-25,147 Avenue,165-25 147 Avenue,Jamaica,Queens,4.0,11434.0,40.661295,-73.773526,1047083.2790000001,180285.0885,4285305,4132960014,413.0,31,30600,QN03,0101000020110F000003464BD6F3535FC17902069933EE5241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Leased,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
7615,0101000020E6100000EE940ED6FF8A52C0088ECBB8A9474440,,55268,,,Arthur Kill Park & Ride,,,W of Richmond Ave bet. Arthur Kill Rd & Drumgoole Rd E,Staten Island,Staten Island,5.0,10312.0,40.559867,-74.171865,936495.0,143297.9999,,,503.0,51,17012,SI01,0101000020110F0000261B8D8F417F5FC10773C253ADDF5241,Transportation,Parking Lots and Garages,Public Park and Ride Lot,,,,,,,,Public,NYS Department of Transportation,NYSDOT,NYSDOT: State,NYS Department of Transportation,NYSDOT,,NYSDOT,NYSDOT: Selected Facilities and Program Sites Database,NYSDOT: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,NYSDOT: 2015-03-01,nysdot_facilities_sfpsd,Core Infrastructure and Transportation
7766,0101000020E6100000153944DC9C8A52C0C4094CA775494440,,122545,5302502001.0,,Yukon Depot,1,Scheffelin Avenue,1 Scheffelin Avenue,Staten Island,Staten Island,5.0,10314.0,40.573903,-74.165824,938183.2394,148408.2938,,5023590400,502.0,51,27702,SI24,0101000020110F0000E0AEC370997E5FC18800258AAFE15241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,NYCDPR,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
7784,0101000020E6100000FA97A432C57C52C03D61890794614440,,114690,,,Franklin D Roosevelt Four Freedoms Park,40,River Road,40 River Road,New York,Manhattan,1.0,10044.0,40.76233,-73.949536,998229.651,217018.0114,,1013730001,108.0,5,23801,MN31,0101000020110F00000166482C16675FC11FA92A16B1FC5241,Parks and Plazas,Parks,City-State Park,,,,,RIOC: 4.500,RIOC: Acres,City Owned,Public,Roosevelt Island Operating Corporation,RIOC,RIOC: State,Roosevelt Island Operating Corporation,RIOC,NYCDEP;NYCDOE;NYCFDNY,NYCDCAS;RIOC,NYCDCAS: City Owned and Leased Properties;RIOC: Selected Facilities and Program Sites Database,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;RIOC: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,NYCDCAS: 2017-06-01;RIOC: 2015-03-01,dcas_facilities_colp;rioc_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
7805,0101000020E6100000ED116A86547D52C0DAE38574785E4440,,115879,5402096.0,,NYCT Facility,65,Commercial Street,65 Commercial Street,Brooklyn,Brooklyn,3.0,11222.0,40.738051,-73.95828399999999,995810.4756,208171.4087,3336594,3024720425,301.0,33,56300,BK76,0101000020110F0000ADE1F2A009685FC187CEF92B35F95241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
7836,0101000020E610000036221807977952C07FFB3A70CE564440,110499,110500,5401015.0,,East New York,1993,Broadway,1993 Broadway,Brooklyn,Brooklyn,3.0,11207.0,40.678175,-73.899843,1012030.603,186369.8609,3393286,3034760010,305.0,37,114201,BK83,0101000020110F00008F1C1E39AF615FC118E422F49EF05241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
8204,0101000020E610000089230F44167652C053EBFD463B6A4440,,154961,5303209001.0,,Cbt Par Transit,2383,Blackrock Avenue,2383 Blackrock Avenue,Bronx,Bronx,2.0,10462.0,40.829934,-73.845109,1027114.447,241682.3635,2119181,2038270001,209.0,18,9600,BX59,0101000020110F000054F09CFBBB5B5FC1FB36334F66065341,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
8258,0101000020E61000009207228B347252C09B9141EE22584440,,97736,5302412001.0,,Baisley Park Depot,114-15,Guy R Brewer Boulevard,114-15 Guy R Brewer Boulevard,Jamaica,Queens,4.0,11434.0,40.688565999999994,-73.78445699999999,1044026.215,190213.1412,4267048,4123270008,412.0,27,27600,QN76,0101000020110F000072F1A00B24555FC1640E8C4B1CF25241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Leased,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
8429,0101000020E610000034BE2F2E557B52C085ECBC8DCD4E4440,,60198,5302318001.0,,Flatbush Depot,4901,Fillmore Avenue,4901 Fillmore Avenue,Brooklyn,Brooklyn,3.0,11234.0,40.615648,-73.927074,1004496.5970000001,163581.9411,3239527,3084890001,318.0,46,67200,BK58,0101000020110F0000D6EFF10EA5645FC1BCD02584A9E75241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
8477,0101000020E6100000C30FCEA78E7952C0056D72F8A4534440,,119145,5303318003.0,,Transcare NY,10615,Foster Avenue,10615 Foster Avenue,Brooklyn,Brooklyn,3.0,11236.0,40.653472,-73.899332,1012182.85,177370.0572,3228747,3081380250,318.0,42,109800,BK82,0101000020110F000028668600A1615FC17C029A9C14ED5241,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
8745,0101000020E610000091BA9D7DE57152C091BA9D7DE54B4440,,118044,5302414001.0,,Far Rockaway Depot,49-19,Rockaway Beach Boulevard,49-19 Rockaway Beach Boulevard,Far Rockaway,Queens,4.0,11691.0,40.592940999999996,-73.77963199999999,1045451.993,155377.7055,4301915,4158550001,414.0,31,97204,QN12,0101000020110F00005A802BC49D545FC103118D2C69E45241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Leased,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
9285,0101000020E610000034F44F70B17352C09C69C2F693594440,,83932,5405005.0,,Jamaica D Yard,146,St,146 St,Jamaica,Queens,4.0,11435.0,40.699828000000004,-73.807705,1037569.8940000001,194301.0885,4798071,4099890095,412.0,27,20800,QN61,0101000020110F00000837C808AB575FC1F0FC30ABB9F35241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
9395,0101000020E61000005AD427B9C37E52C028D53E1D8F614440,77695,77696,5402059.0,,126 W. 53 St,126,West   53 Street,126 West   53 Street,New York,Manhattan,1.0,10019.0,40.76218,-73.980696,989597.7521,216959.9575,1023162,1010050049,105.0,4,13100,MN17,0101000020110F0000916A105A796A5FC154F53E93ABFC5241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
9761,0101000020E6100000FF93BF7B477F52C041D7BE805E584440,;82649,82643,5402094.0,;,NYCT Facility,130,Livingston Street,130 Livingston Street,Brooklyn,Brooklyn,3.0,11201.0,40.690384,-73.988738,987373.0578,190801.9951,3319419,3001630001,302.0,33,3700,BK38,0101000020110F0000A9C5DE28596B5FC19B3337055FF25241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,NYCDCAS;NYCEDC,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
9881,0101000020E610000001309E41437352C0C26C020CCB4B4440,,97674,5303414001.0,,All Transit,72-11,Amstel Boulevard,72-11 Amstel Boulevard,Arverne,Queens,4.0,11692.0,40.592134,-73.80098000000001,1039523.777,155069.7143,4303247,4160770001,414.0,31,95400,QN12,0101000020110F0000768DDFE0EF565FC16AFC18994BE45241,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
10113,0101000020E6100000E78F696D1A8052C0B0E8D66B7A604440,47336;199826,181501,5405012.0,,West Side Yard,530,West 33 Street,530 West 33 Street,New York,Manhattan,1.0,10001.0,40.753735999999996,-74.001613,983802.9999,213883.0001,,1006760005;1007020010;1007020175,104.0,3,9900,MN13,0101000020110F000022702178BF6C5FC15436F35675FB5241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
10489,0101000020E6100000A54FABE80F7A52C0C44142942F604440,,116205,5402091.0,,NYCT Facility,33-61,54 Street,33-61 54 Street,Woodside,Queens,4.0,11377.0,40.751452,-73.90722099999999,1009956.11,213064.4621,4027266,4011930111,402.0,26,25500,QN63,0101000020110F000011664A8D7C625FC143DD736E21FB5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
10718,0101000020E610000048C49448A27A52C00A4AD1CABD5C4440,132729,132521,5405020.0,,Maspeth Yard,57,Dr,57 Dr,Maspeth,Queens,4.0,11378.0,40.724542,-73.916155,1007490.0,203258.0,4058992,4025750052;4026100119,402.0,30,21900,QN31,0101000020110F0000D5911A2F75635FC10F49980B45F75241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
10921,0101000020E6100000757286E28E7B52C011381268B05F4440,,116180,5408002.0,,Sunnyside Yard,,,Skillman Avenue,Long Island City,Queens,4.0,11101.0,40.747571,-73.930596,1003480.6290000001,211644.36899999998,4551444,4002390001,402.0,26,17100,QN31,0101000020110F000068B43F1307655FC181403ADC92FA5241,Transportation,Rail Yards and Maintenance,Amtrak Maintenance and Other Facility,,,,,,,,Public,Amtrak,Amtrak,Amtrak: Federal,Amtrak,Amtrak,,Amtrak,Amtrak: Selected Facilities and Program Sites Database,Amtrak: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,Amtrak: 2015-03-01,amtrak_facilities_sfpsd,Core Infrastructure and Transportation
10935,0101000020E6100000FA97A432C57C52C03D61890794614440,,114689,,,Southwest Promenade,40,River Road,40 River Road,New York,Manhattan,1.0,10044.0,40.76233,-73.949536,998229.651,217018.0114,,1013730001,108.0,5,23801,MN31,0101000020110F00000166482C16675FC11FA92A16B1FC5241,Parks and Plazas,Parks,City-State Park,,,,,,,City Owned,Public,Roosevelt Island Operating Corporation,RIOC,RIOC: State,Roosevelt Island Operating Corporation,RIOC,NYCDEP;NYCDOE;NYCFDNY,NYCDCAS;RIOC,NYCDCAS: City Owned and Leased Properties;RIOC: Selected Facilities and Program Sites Database,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;RIOC: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,NYCDCAS: 2017-06-01;RIOC: 2015-03-01,dcas_facilities_colp;rioc_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
11096,0101000020E61000003FFD67CD8F8452C08109DCBA9B4F4440,,74463,5402077.0,,Clifton,845,Bay Street,845 Bay Street,Staten Is,Staten Is,,10304.0,40.62194,-74.071277,964463.2226,165873.9329,5154144,5028200001,501.0,49,600,SI37,0101000020110F00000C92A23552745FC11C72493490E85241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
11120,0101000020E610000012C2A38D238052C07EC51A2E72534440,,55371,5402071.0,,38th St.,38,St & 5 Ave,38 St & 5 Ave,Brooklyn,Brooklyn,3.0,11232.0,40.651922,-74.00216999999999,983647.9999,176789.0001,,3009030180,307.0,38,8800,BK34,0101000020110F0000AAA472F8CE6C5FC1E59F0DC1DBEC5241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
11146,0101000020E61000004E29AF95D07352C01570CFF3A7594440,83068,83089,5402089.0,,NYCT Facility,91-15,144 Place,91-15 144 Place,Jamaica,Queens,4.0,11435.0,40.700438,-73.809606,1037042.212,194522.3669,4213883,4099860020,412.0,24,21200,QN61,0101000020110F00004B4B5BF0DF575FC13DCC940FD0F35241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
11149,0101000020E61000001346B3B27D8B52C0DCB75A272E454440,,117634,5306002.0,,Annadale,,,Albee Avenue,Staten Island,Staten Island,5.0,10312.0,40.540471000000004,-74.179547,934346.0001,136235.9999,,5062540150,503.0,51,17005,SI01,0101000020110F000075638E5917805FC18B7B5BEDE6DC5241,Transportation,Parking Lots and Garages,Public Park and Ride Lot,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
11370,0101000020E6100000AA2A3410CB8452C0DE59BBED42514440,,54889,5402048.0,,Tompkinsville,293,Bay Street,293 Bay Street,Staten Is,Staten Is,,10301.0,40.634855,-74.074894,963462.9999,170580.0001,,,501.0,49,2100,SI37,0101000020110F00003FE6C2DEB6745FC1A45CBBC869EA5241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
12077,0101000020E610000080D8D2A3A98452C047020D3675524440,,110589,5401029.0,,St. George,1,Richmond Terrace,1 Richmond Terrace,Staten Island,Staten Island,5.0,10301.0,40.644202,-74.072854,964032.0001,173984.9998,,5000020001,501.0,49,300,SI22,0101000020110F0000CF7BE3187E745FC1191E1196C0EB5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,NYCDOT,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
12078,0101000020E6100000E7C75F5AD47552C051A4FB3905634440,,105523,5302407001.0,,College Point Depot,124-15,28 Avenue,124-15 28 Avenue,Flushing,Queens,4.0,11354.0,40.773596999999995,-73.841086,1028265.0,221159.0,,,407.0,19,90700,QN23,0101000020110F0000370BF6054C5B5FC14E6B3A1A4FFE5241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
12165,0101000020E6100000A0C552245F7752C0A69BC420B0544440,,123405,5302305002.0,,Spring Creek Depot,12755,Flatlands Avenue,12755 Flatlands Avenue,Brooklyn,Brooklyn,3.0,11208.0,40.661625,-73.86518199999999,1021654.017,180352.848,3405282,3045660005,305.0,42,122000,BK82,0101000020110F0000EB5AA59CEA5D5FC1D38F5AB43FEE5241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,NYCDOT,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
